189578 getPopulationofCountry French Guiana Zone:4 (turnaround time: 102 ms, execution time: 89 ms, waiting time: 1 ms, processed by Server Zone:4)
48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 89 ms, execution time: 85 ms, waiting time: 0 ms, processed by Server Zone:1)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:2)
31731367 getPopulationofCountry Canada Zone:1 (turnaround time: 142 ms, execution time: 81 ms, waiting time: 57 ms, processed by Server Zone:1)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 85 ms, execution time: 81 ms, waiting time: 1 ms, processed by Server Zone:4)
447039 getPopulationofCountry Equatorial Guinea Zone:2 (turnaround time: 132 ms, execution time: 81 ms, waiting time: 49 ms, processed by Server Zone:2)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 109 ms, execution time: 83 ms, waiting time: 24 ms, processed by Server Zone:1)
30376 getPopulationofCountry Palau Zone:4 (turnaround time: 83 ms, execution time: 80 ms, waiting time: 0 ms, processed by Server Zone:4)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 162 ms, execution time: 80 ms, waiting time: 80 ms, processed by Server Zone:1)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 137 ms, execution time: 81 ms, waiting time: 54 ms, processed by Server Zone:4)
7571439 getPopulationofCountry Kenya Zone:2 (turnaround time: 85 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:2)
276340 getPopulationofCountry Swaziland Zone:1 (turnaround time: 216 ms, execution time: 81 ms, waiting time: 130 ms, processed by Server Zone:1)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:3)
3645095 getPopulationofCountry Uganda Zone:4 (turnaround time: 193 ms, execution time: 82 ms, waiting time: 110 ms, processed by Server Zone:4)
1070 getPopulationofCountry Tokelau Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
1680347 getPopulationofCountry Chad Zone:4 (turnaround time: 225 ms, execution time: 82 ms, waiting time: 141 ms, processed by Server Zone:4)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:1)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 251 ms, execution time: 81 ms, waiting time: 164 ms, processed by Server Zone:4)
6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 82 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:2)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 306 ms, execution time: 81 ms, waiting time: 224 ms, processed by Server Zone:4)
6340891 getPopulationofCountry Guatemala Zone:2 (turnaround time: 139 ms, execution time: 81 ms, waiting time: 54 ms, processed by Server Zone:2)
134594036 getPopulationofCountry Brazil Zone:3 (turnaround time: 96 ms, execution time: 94 ms, waiting time: 0 ms, processed by Server Zone:3)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 383 ms, execution time: 107 ms, waiting time: 272 ms, processed by Server Zone:4)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 173 ms, execution time: 86 ms, waiting time: 84 ms, processed by Server Zone:2)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:5)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 226 ms, execution time: 80 ms, waiting time: 145 ms, processed by Server Zone:2)
32847337 getPopulationofCountry Ukraine Zone:4 (turnaround time: 437 ms, execution time: 82 ms, waiting time: 352 ms, processed by Server Zone:4)
1907246 getPopulationofCountry Tajikistan Zone:3 (turnaround time: 84 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 140 ms, execution time: 81 ms, waiting time: 15 ms, processed by Server Zone:5)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 282 ms, execution time: 81 ms, waiting time: 199 ms, processed by Server Zone:2)
3988332 getPopulationofCountry Paraguay Zone:4 (turnaround time: 491 ms, execution time: 81 ms, waiting time: 400 ms, processed by Server Zone:4)
1565638 getPopulationofCountry Togo Zone:5 (turnaround time: 125 ms, execution time: 81 ms, waiting time: 42 ms, processed by Server Zone:5)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 161 ms, execution time: 81 ms, waiting time: 78 ms, processed by Server Zone:2)
361020 getPopulationofCountry Comoros Zone:4 (turnaround time: 443 ms, execution time: 82 ms, waiting time: 357 ms, processed by Server Zone:4)
374575 getPopulationofCountry Guadeloupe Zone:5 (turnaround time: 84 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:5)
374575 getPopulationofCountry Guadeloupe Zone:3 (turnaround time: 82 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 216 ms, execution time: 81 ms, waiting time: 134 ms, processed by Server Zone:2)
29145131 getPopulationofCountry Poland Zone:4 (turnaround time: 300 ms, execution time: 84 ms, waiting time: 214 ms, processed by Server Zone:4)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
6340891 getPopulationofCountry Guatemala Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
100848918 getPopulationofCountry Japan Zone:3 (turnaround time: 85 ms, execution time: 81 ms, waiting time: 2 ms, processed by Server Zone:3)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 272 ms, execution time: 81 ms, waiting time: 189 ms, processed by Server Zone:2)
3989252 getPopulationofCountry Nepal Zone:4 (turnaround time: 148 ms, execution time: 81 ms, waiting time: 65 ms, processed by Server Zone:4)
21079844 getPopulationofCountry Peru Zone:2 (turnaround time: 328 ms, execution time: 82 ms, waiting time: 244 ms, processed by Server Zone:2)
3989252 getPopulationofCountry Nepal Zone:4 (turnaround time: 206 ms, execution time: 82 ms, waiting time: 122 ms, processed by Server Zone:4)
1907246 getPopulationofCountry Tajikistan Zone:1 (turnaround time: 84 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:1)
21079844 getPopulationofCountry Peru Zone:5 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
15411242 getPopulationofCountry Belgium Zone:5 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:5)
369776 getPopulationofCountry Guyana Zone:2 (turnaround time: 382 ms, execution time: 80 ms, waiting time: 301 ms, processed by Server Zone:2)
15411242 getPopulationofCountry Belgium Zone:4 (turnaround time: 83 ms, execution time: 80 ms, waiting time: 0 ms, processed by Server Zone:4)
15411242 getPopulationofCountry Belgium Zone:5 (turnaround time: 139 ms, execution time: 80 ms, waiting time: 57 ms, processed by Server Zone:5)
30376 getPopulationofCountry Palau Zone:3 (turnaround time: 84 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 116 ms, execution time: 81 ms, waiting time: 33 ms, processed by Server Zone:5)
48029 getPopulationofCountry Seychelles Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 172 ms, execution time: 83 ms, waiting time: 88 ms, processed by Server Zone:5)
4803355 getPopulationofCountry Serbia Zone:2 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:2)
48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 82 ms, execution time: 81 ms, waiting time: 1 ms, processed by Server Zone:4)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 228 ms, execution time: 81 ms, waiting time: 146 ms, processed by Server Zone:5)
3328228 getPopulationofCountry Honduras Zone:1 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 1 ms, processed by Server Zone:1)
3328228 getPopulationofCountry Honduras Zone:2 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
48029 getPopulationofCountry Seychelles Zone:4 (turnaround time: 135 ms, execution time: 81 ms, waiting time: 53 ms, processed by Server Zone:4)
361020 getPopulationofCountry Comoros Zone:5 (turnaround time: 285 ms, execution time: 81 ms, waiting time: 201 ms, processed by Server Zone:5)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:4)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 186 ms, execution time: 81 ms, waiting time: 103 ms, processed by Server Zone:5)
4722032 getPopulationofCountry Guinea Zone:1 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:1)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 140 ms, execution time: 81 ms, waiting time: 57 ms, processed by Server Zone:4)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 244 ms, execution time: 82 ms, waiting time: 160 ms, processed by Server Zone:5)
4896738 getPopulationofCountry Tunisia Zone:3 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 112 ms, execution time: 80 ms, waiting time: 30 ms, processed by Server Zone:1)
357957 getPopulationofCountry Bahamas Zone:4 (turnaround time: 194 ms, execution time: 80 ms, waiting time: 112 ms, processed by Server Zone:4)
4803355 getPopulationofCountry Serbia Zone:5 (turnaround time: 299 ms, execution time: 80 ms, waiting time: 216 ms, processed by Server Zone:5)
1070 getPopulationofCountry Tokelau Zone:3 (turnaround time: 82 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 168 ms, execution time: 81 ms, waiting time: 86 ms, processed by Server Zone:1)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 139 ms, execution time: 81 ms, waiting time: 56 ms, processed by Server Zone:3)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 222 ms, execution time: 81 ms, waiting time: 140 ms, processed by Server Zone:1)
1565638 getPopulationofCountry Togo Zone:4 (turnaround time: 83 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:4)
21079844 getPopulationofCountry Peru Zone:1 (turnaround time: 279 ms, execution time: 81 ms, waiting time: 196 ms, processed by Server Zone:1)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:4)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 81 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:5)
266998322 getPopulationofCountry United States Zone:1 (turnaround time: 288 ms, execution time: 84 ms, waiting time: 203 ms, processed by Server Zone:1)
233433 getPopulationofCountry Bhutan Zone:3 (turnaround time: 83 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:3)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 138 ms, execution time: 81 ms, waiting time: 56 ms, processed by Server Zone:5)
53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 344 ms, execution time: 81 ms, waiting time: 261 ms, processed by Server Zone:1)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 82 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:2)
233433 getPopulationofCountry Bhutan Zone:1 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
134594036 getPopulationofCountry Brazil Zone:5 (turnaround time: 195 ms, execution time: 81 ms, waiting time: 113 ms, processed by Server Zone:5)
53608445 getPopulationofCountry Pakistan Zone:1 (turnaround time: 401 ms, execution time: 80 ms, waiting time: 320 ms, processed by Server Zone:1)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 142 ms, execution time: 83 ms, waiting time: 55 ms, processed by Server Zone:2)
63717971 getPopulationofCountry Turkey Zone:4 (turnaround time: 82 ms, execution time: 80 ms, waiting time: 1 ms, processed by Server Zone:4)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 433 ms, execution time: 80 ms, waiting time: 352 ms, processed by Server Zone:1)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 196 ms, execution time: 81 ms, waiting time: 113 ms, processed by Server Zone:2)
3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 0 ms, processed by Server Zone:3)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 488 ms, execution time: 81 ms, waiting time: 406 ms, processed by Server Zone:1)
7097388 getPopulationofCountry Belarus Zone:2 (turnaround time: 252 ms, execution time: 81 ms, waiting time: 170 ms, processed by Server Zone:2)
3006587 getPopulationofCountry Slovakia Zone:3 (turnaround time: 137 ms, execution time: 82 ms, waiting time: 52 ms, processed by Server Zone:3)
316458 getPopulationofCountry Suriname Zone:1 (turnaround time: 544 ms, execution time: 80 ms, waiting time: 463 ms, processed by Server Zone:1)
8833274 getPopulationofCountry Greece Zone:2 (turnaround time: 243 ms, execution time: 81 ms, waiting time: 161 ms, processed by Server Zone:2)
7375148 getPopulationofCountry Switzerland Zone:3 (turnaround time: 194 ms, execution time: 80 ms, waiting time: 112 ms, processed by Server Zone:3)
24859223 getPopulationofCountry Romania Zone:4 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 84 ms, execution time: 82 ms, waiting time: 0 ms, processed by Server Zone:4)
16357414 getPopulationofCountry Thailand Zone:1 (turnaround time: 475 ms, execution time: 81 ms, waiting time: 392 ms, processed by Server Zone:1)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 230 ms, execution time: 81 ms, waiting time: 148 ms, processed by Server Zone:2)
6340891 getPopulationofCountry Guatemala Zone:4 (turnaround time: 139 ms, execution time: 81 ms, waiting time: 56 ms, processed by Server Zone:4)
7571439 getPopulationofCountry Kenya Zone:1 (turnaround time: 197 ms, execution time: 81 ms, waiting time: 115 ms, processed by Server Zone:1)
4803355 getPopulationofCountry Serbia Zone:3 (turnaround time: 83 ms, execution time: 81 ms, waiting time: 1 ms, processed by Server Zone:3)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 286 ms, execution time: 81 ms, waiting time: 204 ms, processed by Server Zone:2)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 120 ms, execution time: 81 ms, waiting time: 38 ms, processed by Server Zone:4)
736951 getPopulationofCountry Gambia Zone:1 (turnaround time: 206 ms, execution time: 82 ms, waiting time: 122 ms, processed by Server Zone:1)
3006587 getPopulationofCountry Slovakia Zone:2 (turnaround time: 345 ms, execution time: 82 ms, waiting time: 261 ms, processed by Server Zone:2)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 175 ms, execution time: 81 ms, waiting time: 93 ms, processed by Server Zone:4)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 0 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server Zone:0)
